match_id,team1,team2,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire,umpire,reserve_umpire,tv_umpire,match_referee,result,winner_by_runs,winner_by_wicket
1233954,West Indies,New Zealand,male,2020/21,44162,West Indies tour of New Zealand,1,Eden Park,Auckland,New Zealand,field,LH Ferguson,CM Brown,WR Knights,JM Dempsey,SB Haig,JJ Crowe,New Zealand,0,5
1233955,New Zealand,West Indies,male,2020/21,44164,West Indies tour of New Zealand,2,Bay Oval,Mount Maunganui,West Indies,field,GD Phillips,CM Brown,SB Haig,Kim Cotton,WR Knights,JJ Crowe,New Zealand,72,0
1233959,Pakistan,New Zealand,male,2020/21,44183,Pakistan tour of New Zealand,1,Eden Park,Auckland,Pakistan,bat,JA Duffy,SB Haig,WR Knights,A Mehrotra,CM Brown,JJ Crowe,New Zealand,0,5
1233960,Pakistan,New Zealand,male,2020/21,44185,Pakistan tour of New Zealand,2,Seddon Park,Hamilton,Pakistan,bat,TG Southee,CM Brown,SB Haig,A Mehrotra,WR Knights,JJ Crowe,New Zealand,0,9
1233961,New Zealand,Pakistan,male,2020/21,44187,Pakistan tour of New Zealand,3,McLean Park,Napier,Pakistan,field,Mohammad Rizwan,CM Brown,WR Knights,A Mehrotra,SB Haig,JJ Crowe,Pakistan,0,4
1233971,New Zealand,Australia,male,2020/21,44249,Australia tour of New Zealand,1,Hagley Oval,Christchurch,Australia,field,DP Conway,CM Brown,CB Gaffaney,SB Haig,WR Knights,JJ Crowe,New Zealand,53,0
1233972,New Zealand,Australia,male,2020/21,44252,Australia tour of New Zealand,2,University Oval,Dunedin,Australia,field,MJ Guptill,CB Gaffaney,SB Haig,WR Knights,CM Brown,JJ Crowe,New Zealand,4,0
1233973,Australia,New Zealand,male,2020/21,44258,Australia tour of New Zealand,3,Westpac Stadium,Wellington,New Zealand,field,AC Agar,CB Gaffaney,WR Knights,CM Brown,SB Haig,JJ Crowe,Australia,64,0
1233974,Australia,New Zealand,male,2020/21,44260,Australia tour of New Zealand,4,Westpac Stadium,Wellington,Australia,bat,AJ Finch,CM Brown,WR Knights,SB Haig,CB Gaffaney,JJ Crowe,Australia,50,0
1233975,Australia,New Zealand,male,2020/21,44262,Australia tour of New Zealand,5,Sky Stadium,Wellington,Australia,bat,MJ Guptill,CB Gaffaney,WR Knights,CM Brown,SB Haig,JJ Crowe,New Zealand,0,7
